video_id,physics_role,model,release_offset_frames,release_frame_used_0based,fit_status,fit_message,quality_warnings,fps,frame_count_total,frame_count_post_release,frame_count_geometry_valid,frame_count_geometry_excluded,optimization_point_count,duration_post_release_s,length_m,nominal_initial_angle_deg,theta0_deg_signed,omega0_assumed_rad_s,alpha1_s_inv,alpha2_rad_inv,omega2_s_inv2,omega2_over_g_over_l,alpha1_lower,alpha1_upper,alpha2_lower,alpha2_upper,omega2_lower,omega2_upper,parameter_at_bound,optimizer_success,optimizer_nfev,optimizer_cost,rmse_deg,weighted_rmse_deg_exploratory,early_rmse_deg,late_rmse_deg,residual_bias_deg,max_abs_residual_deg,late_equilibrium_offset_deg,frequency_initial_estimate_s_inv2,frequency_extrema_count,jacobian_rank,jacobian_parameter_count,jacobian_condition_number,median_marker_likelihood_post_release,median_abs_delta_deg_post_release,median_dlc_pivot_to_cad_px,p95_dlc_pivot_to_cad_px,csv_filename,dlc_scorer,csv_sha256,calibration_filename,calibration_sha256,weighting_status,interval_status,alpha1_s_inv_lower,alpha1_s_inv_upper,omega2_s_inv2_lower,omega2_s_inv2_upper,alpha2_rad_inv_lower,alpha2_rad_inv_upper
P018,fully_heldout_formal,M0_linear,0,139,success,`ftol` termination condition is satisfied.,effective_release_frame_used:139;led_release_frame:140,29.9969431686,3500,3361,3361,0,500,112.01141333351454,0.32,45,-53.593793794332115,0.0,0.05611627653369316,0.0,31.101612471850025,1.0148741915936643,0.0,0.5,,,6.12915625,49.03325,False,True,33,0.1658150807898683,3.0901063382650533,3.0901063382650533,3.708028529146091,2.990803452722988,-0.7217630715242476,7.972047530177602,0.5557523836569347,29.845272405648668,60,2,2,36.23253116424913,1.0,179.19079270970497,4.149165322579906,5.207656120953073,P018DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,0C251A704B9E5220A0CAB0C06103B6F37C30C1224A727C22132975F3408BEE8C,P018_parameters.toml,DD2F7B4B2398133D870EB3C56F27396F081DC45C0439CC16CD3DB97A6C99C76D,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,6.12915625,49.03325,,
P018,fully_heldout_formal,M1_linear_quadratic,0,139,success,`xtol` termination condition is satisfied.,effective_release_frame_used:139;led_release_frame:140,29.9969431686,3500,3361,3361,0,500,112.01141333351454,0.32,45,-53.593793794332115,0.0,0.042349453898960214,0.007022399743455326,30.970345609050085,1.0105908332505011,0.0,0.5,0.0,0.5,6.12915625,49.03325,False,True,15,0.112150860874191,2.2592837975761464,2.2592837975761464,2.870613908165066,1.5175443105594328,-0.7252118477460195,5.787284372833741,0.5557523836569347,29.845272405648668,60,3,3,428.9710627477221,1.0,179.19079270970497,4.149165322579906,5.207656120953073,P018DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,0C251A704B9E5220A0CAB0C06103B6F37C30C1224A727C22132975F3408BEE8C,P018_parameters.toml,DD2F7B4B2398133D870EB3C56F27396F081DC45C0439CC16CD3DB97A6C99C76D,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,6.12915625,49.03325,0.0,0.5
P019,fully_heldout_formal,M0_linear,0,165,success,`ftol` termination condition is satisfied.,effective_release_frame_used:165;led_release_frame:166,29.99705822,3297,3132,3132,0,500,104.37690179607219,0.165,65,-62.42299103765549,0.0,0.06550178151084395,0.0,57.70456699711171,0.9708976617421273,0.0,0.5,,,11.886848484848485,95.09478787878788,False,True,171,0.3259348645545001,5.608514876256793,5.608514876256793,7.4120523590116845,4.2850411023110295,-0.5150071763785742,14.891774710087592,0.7597377227955249,56.837772762255966,82,2,2,48.07229286399864,1.0,178.7303414811853,2.1809681133294374,2.7927793566566184,P019DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,9F456EF6CA7B39B667C49B48FCB2D9A20FC86DD14D51A100741FFCB69DF536C8,P019_parameters.toml,7EFD1920C57EC39CC29E06237BF9AAC1D941E068ABE9364EEB58BB75F5CCBF6A,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,11.886848484848485,95.09478787878788,,
P019,fully_heldout_formal,M1_linear_quadratic,0,165,success,`xtol` termination condition is satisfied.,effective_release_frame_used:165;led_release_frame:166,29.99705822,3297,3132,3132,0,500,104.37690179607219,0.165,65,-62.42299103765549,0.0,0.05172940672264285,0.006374037211138329,57.271175698529994,0.9636057155356264,0.0,0.5,0.0,0.5,11.886848484848485,95.09478787878788,False,True,14,0.265045258106441,4.4823210174074015,4.4823210174074015,4.954858124828794,3.1100711883053194,-0.514733295973764,8.5502333796318,0.7597377227955249,56.837772762255966,82,3,3,421.5072468883863,1.0,178.7303414811853,2.1809681133294374,2.7927793566566184,P019DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,9F456EF6CA7B39B667C49B48FCB2D9A20FC86DD14D51A100741FFCB69DF536C8,P019_parameters.toml,7EFD1920C57EC39CC29E06237BF9AAC1D941E068ABE9364EEB58BB75F5CCBF6A,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,11.886848484848485,95.09478787878788,0.0,0.5
P020,fully_heldout_formal,M0_linear,0,126,success,`ftol` termination condition is satisfied.,effective_release_frame_used:126;led_release_frame:127;late_equilibrium_offset_over_1deg,29.9970364151,3239,3113,3113,0,500,103.74358176374623,0.32,20,-29.78018507998333,0.0,0.04748125877563652,0.0,31.001591944806073,1.0116104298958302,0.0,0.5,,,6.12915625,49.03325,False,True,16,0.03887454564983129,0.989639162342338,0.989639162342338,1.1128147753072373,1.0126175366318397,-0.6880210386285934,2.32558068899041,1.042088635247315,30.72972001048174,61,2,2,11.52949357401895,1.0,179.3980485627719,3.3623630306081616,4.116764111310835,P020DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,E2974AB5593DBAD9C99AE70178FD17C44C1829AE02B56978401E7DC94D76668F,P020_parameters.toml,3BDCC702C47B7C70B219C353592E6F67B50FE44FB445D252BD7C561B9AD3548F,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,6.12915625,49.03325,,
P020,fully_heldout_formal,M1_linear_quadratic,0,126,success,`ftol` termination condition is satisfied.,effective_release_frame_used:126;led_release_frame:127;late_equilibrium_offset_over_1deg,29.9970364151,3239,3113,3113,0,500,103.74358176374623,0.32,20,-29.78018507998333,0.0,0.036567710886602184,0.00770364202369913,30.98320577025412,1.0110104721267017,0.0,0.5,0.0,0.5,6.12915625,49.03325,False,True,9,0.03556680375401345,0.9242044321687226,0.9242044321687226,1.0422839502937975,0.9405843814935575,-0.6877482932685642,2.104132554466216,1.042088635247315,30.72972001048174,61,3,3,25.031485578852838,1.0,179.3980485627719,3.3623630306081616,4.116764111310835,P020DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,E2974AB5593DBAD9C99AE70178FD17C44C1829AE02B56978401E7DC94D76668F,P020_parameters.toml,3BDCC702C47B7C70B219C353592E6F67B50FE44FB445D252BD7C561B9AD3548F,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,6.12915625,49.03325,0.0,0.5
P021,fully_heldout_formal,M0_linear,0,105,success,`ftol` termination condition is satisfied.,effective_release_frame_used:105;led_release_frame:106,29.9970182466,3454,3349,3349,0,500,111.6110932252234,0.245,65,-69.37863827620842,0.0,0.06587804812227566,0.0,39.48781463304515,0.9865259375113888,0.0,0.5,,,8.005428571428572,64.04342857142858,False,True,42,0.3931986524283388,6.416856292494747,6.416856292494747,7.108240278595787,5.989485545339119,0.11685807513431705,14.487544875459424,-0.06908989177228216,36.96515431900454,67,2,2,91.64797436315992,1.0,178.3727959270128,5.605169592224595,6.151596100731595,P021DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,72181E80D32AFD5F2F9EC6298561A0A086CFDB31F92C342D8BEB3CA0EF24039B,P021_parameters.toml,C66FAAD8B3E6D4D2A681BB1A4529E40F60AA5F57D21D0476C803CADFF87173D3,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,8.005428571428572,64.04342857142858,,
P021,fully_heldout_formal,M1_linear_quadratic,0,105,success,`xtol` termination condition is satisfied.,effective_release_frame_used:105;led_release_frame:106,29.9970182466,3454,3349,3349,0,500,111.6110932252234,0.245,65,-69.37863827620842,0.0,0.050590075777007346,0.006482442623349913,39.129409647526714,0.9775718888350299,0.0,0.5,0.0,0.5,8.005428571428572,64.04342857142858,False,True,16,0.3595221990747826,5.812156822716217,5.812156822716217,5.791831020836022,5.3996511578729995,0.11899706203493671,9.59761847382538,-0.06908989177228216,36.96515431900454,67,3,3,641.912002108123,1.0,178.3727959270128,5.605169592224595,6.151596100731595,P021DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,72181E80D32AFD5F2F9EC6298561A0A086CFDB31F92C342D8BEB3CA0EF24039B,P021_parameters.toml,C66FAAD8B3E6D4D2A681BB1A4529E40F60AA5F57D21D0476C803CADFF87173D3,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,8.005428571428572,64.04342857142858,0.0,0.5
P022,fully_heldout_formal,M0_linear,0,115,success,`ftol` termination condition is satisfied.,effective_release_frame_used:115;led_release_frame:116;late_equilibrium_offset_over_1deg,29.9969878117,2722,2607,2607,0,500,86.87538950106044,0.165,20,-29.61027428248702,0.0,0.05550110201478516,0.0,57.86259409895339,0.9735565179064523,0.0,0.5,,,11.886848484848485,95.09478787878788,False,True,15,0.16818465012708309,2.7962148984323383,2.7962148984323383,2.8025284532424615,2.7799097688150702,2.6488600639190043,4.991182179003543,-2.5079260838697217,56.83750594634197,83,2,2,20.35958753051673,1.0,176.80993190729708,20.45819655188601,21.660238201046663,P022DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,709766C900D31D681251D0E73B3081C3725CDF42A30B49471FEC4C6E8397CA59,P022_parameters.toml,220E59C1C1294FEBA18156D61C58AC1C48464BBBE5EEFD20C465A7DE047DCA42,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,11.886848484848485,95.09478787878788,,
P022,fully_heldout_formal,M1_linear_quadratic,0,115,success,`ftol` termination condition is satisfied.,effective_release_frame_used:115;led_release_frame:116;late_equilibrium_offset_over_1deg,29.9969878117,2722,2607,2607,0,500,86.87538950106044,0.165,20,-29.61027428248702,0.0,0.039888084158771396,0.007752760821487998,57.82720079048099,0.9729610142535283,0.0,0.5,0.0,0.5,11.886848484848485,95.09478787878788,False,True,11,0.16803946416140406,2.7826179736539327,2.7826179736539327,2.764140060786528,2.8013226866649563,2.650140100618604,4.846952481832923,-2.5079260838697217,56.83750594634197,83,3,3,48.1418855879204,1.0,176.80993190729708,20.45819655188601,21.660238201046663,P022DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55.csv,DLC_Resnet50_Province_Pendulum_DLCJul23shuffle1_snapshot_best-55,709766C900D31D681251D0E73B3081C3725CDF42A30B49471FEC4C6E8397CA59,P022_parameters.toml,220E59C1C1294FEBA18156D61C58AC1C48464BBBE5EEFD20C465A7DE047DCA42,exploratory_bounded_dlc_likelihood_not_calibrated,not_reported_frames_autocorrelated,0.0,0.5,11.886848484848485,95.09478787878788,0.0,0.5
