video_id,extremum_index_0based,frame_index_0based,time_s,extremum_type,theta_observed_deg,omega_savgol9_rad_s
P011,0,111,0.5667254120155081,maximum,68.62666831079848,-0.5444306903817031
P011,1,127,1.1001140350889274,minimum,-67.04800610684543,0.0953595591429805
P011,2,143,1.6335026581623469,maximum,65.83368566670178,0.1385264184325993
P011,3,159,2.1668912812357664,minimum,-64.34672341261397,-0.4346503592266524
P011,4,175,2.7002799043091854,maximum,62.756992064440304,0.46291426910755
P011,5,192,3.2670053163246937,minimum,-62.1051317596913,0.5114091213602148
P011,6,208,3.800393939398113,maximum,60.11222225669543,-0.5164895058970327
P011,7,224,4.333782562471533,minimum,-59.98940382266596,0.4542499627510179
P011,8,240,4.867171185544952,maximum,57.87686950995856,-0.5444386405775479
P011,9,255,5.367223019676282,minimum,-57.76455834689417,-0.5801868817157478
P011,10,271,5.900611642749702,maximum,56.089370600254256,0.3387215399816194
P011,11,287,6.434000265823121,minimum,-56.11255742111221,-0.2635756683492025
P011,12,303,6.967388888896541,maximum,54.14807196824563,-0.059952971861092
P011,13,319,7.50077751196996,minimum,-54.31453359364799,0.1973827232217271
P011,14,334,8.000829346101291,maximum,52.16033466668635,0.4849616643926402
P011,15,350,8.53421796917471,minimum,-52.48712072767074,-0.3343415135482592
P011,16,366,9.06760659224813,maximum,50.81700669979802,-0.0768339176256303
P011,17,382,9.600995215321548,minimum,-51.00402413443658,0.3005987207281144
P011,18,397,10.10104704945288,maximum,49.160734876564845,0.2314488692840171
P011,19,413,10.6344356725263,minimum,-49.4250425234662,0.0063558914864976
P011,20,428,11.13448750665763,maximum,47.47109409178958,0.4178436672822365
P011,21,444,11.667876129731049,minimum,-47.92253428539018,-0.1870878694555378
P011,22,460,12.201264752804468,maximum,46.21703865298157,-0.3785579270942514
P011,23,475,12.701316586935798,minimum,-46.59384482315039,-0.3161132436585281
P011,24,491,13.23470521000922,maximum,44.89913735246465,-0.2762978620436209
P011,25,506,13.734757044140547,minimum,-45.10275397296118,-0.3440151672528122
P011,26,522,14.268145667213968,maximum,43.73446094545312,-0.2891691017374151
P011,27,537,14.768197501345298,minimum,-43.9125112803207,-0.3272752538062837
P011,28,553,15.301586124418716,maximum,42.49414193506229,-0.3677056314312055
P011,29,568,15.80163795855005,minimum,-42.69352064711032,-0.2652930085412106
P011,30,583,16.30168979268138,maximum,41.2062804980101,0.3928057155418973
P011,31,599,16.8350784157548,minimum,-41.63308309268344,-0.0938936693148804
P011,32,614,17.33513024988613,maximum,40.47589295183159,0.2522606521565298
P011,33,630,17.868518872959548,minimum,-40.53278133675334,0.05243507342416
P011,34,645,18.36857070709088,maximum,39.58977572436888,0.0339909695915761
P011,35,661,18.9019593301643,minimum,-39.35190280232191,0.2635756604435642
P011,36,676,19.40201116429563,maximum,38.372736519075154,-0.1840420060588878
P011,37,691,19.90206299842696,minimum,-38.26227064092477,-0.3619876616420057
P011,38,706,20.40211483255829,maximum,37.54218831661634,0.3826828338732775
P011,39,722,20.93550345563171,minimum,-37.39427795097629,-0.0794796562275668
P011,40,737,21.43555528976304,maximum,36.72303016350602,0.1043783036922456
P011,41,753,21.968943912836465,minimum,-36.21234367564731,0.2043158615906724
P011,42,768,22.468995746967792,maximum,36.122849427737954,-0.220616485882295
P011,43,783,22.96904758109912,minimum,-35.270740895728764,-0.2741691809347384
P011,44,798,23.469099415230453,maximum,35.28399751793208,0.2345925050557462
P011,45,814,24.002488038303877,minimum,-34.4107938445573,0.0884731493745349
P011,46,829,24.502539872435204,maximum,34.73205917085036,-0.1072616423065966
P011,47,844,25.00259170656653,minimum,-33.31739190117631,-0.3056518685335261
P011,48,859,25.502643540697864,maximum,34.12510277394188,0.3281373573927546
P011,49,875,26.03603216377128,minimum,-32.561845971449,0.0807754750534774
P011,50,890,26.53608399790261,maximum,33.347576722110105,-0.0046387243665073
P011,51,905,27.036135832033946,minimum,-31.85134917626256,-0.1918409896240986
P011,52,920,27.53618766616528,maximum,32.5744817331662,0.3764704649873545
P011,53,936,28.069576289238693,minimum,-31.08629712586413,0.2047554481629265
P011,54,951,28.569628123370027,maximum,31.88844969583691,0.0086102028298293
P011,55,966,29.06967995750136,minimum,-30.60330803890751,-0.0796911332900767
P011,56,981,29.569731791632687,maximum,30.99419690498711,0.2900297367423858
P011,57,997,30.103120414706105,minimum,-30.113045315279475,0.3150752630255271
P011,58,1012,30.603172248837435,maximum,30.276917808851973,-0.1301491668265659
P011,59,1027,31.10322408296877,minimum,-29.646069274599284,0.0241292172708758
P011,60,1042,31.6032759171001,maximum,29.481286387623104,0.0740160966436507
P011,61,1057,32.103327751231426,minimum,-28.812192574437702,-0.2611756203030198
P011,62,1072,32.60337958536276,maximum,29.07977137895689,0.2910217275947377
P011,63,1088,33.13676820843618,minimum,-28.236328282723782,0.181231335017334
P011,64,1103,33.63682004256751,maximum,28.68230556789155,-0.1507723197865722
P011,65,1118,34.13687187669884,minimum,-27.56642032667353,-0.0135570795834885
P011,66,1133,34.63692371083017,maximum,28.09919845607498,0.0891468748406236
P011,67,1148,35.1369755449615,minimum,-26.938507336933743,-0.2008721516325211
P011,68,1163,35.637027379092835,maximum,27.36161278206579,0.3042673941113976
P011,69,1179,36.17041600216625,minimum,-26.570418360123167,0.2583413609304323
P011,70,1194,36.67046783629758,maximum,26.887140118281614,-0.1321465901660228
P011,71,1209,37.17051967042891,minimum,-26.11390864119935,0.056636191649801
P011,72,1224,37.67057150456024,maximum,26.467452646469905,0.0346705424233304
P011,73,1239,38.17062333869158,minimum,-25.639095873454984,-0.1010833921127252
P011,74,1254,38.6706751728229,maximum,25.814641029189136,0.1577406091318789
P011,75,1269,39.17072700695424,minimum,-25.129627247774344,-0.2838427075935228
P011,76,1285,39.70411563002765,maximum,25.52631207107042,-0.2718376323126703
P011,77,1300,40.204167464158985,minimum,-24.664692399122,0.1598915487560508
P011,78,1315,40.70421929829032,maximum,25.095802642550424,-0.1290250683754681
P011,79,1330,41.204271132421646,minimum,-24.15202351262161,0.0257081381329513
P011,80,1345,41.70432296655298,maximum,24.592490191064005,0.0435950365244783
P011,81,1360,42.20437480068431,minimum,-23.63071368681424,-0.0813021608097552
P011,82,1375,42.70442663481564,maximum,24.000077300706323,0.1537027750898039
P011,83,1390,43.20447846894697,minimum,-23.327996907470645,-0.2129963891782835
P011,84,1405,43.7045303030783,maximum,23.58221179639474,0.2719113105472304
P011,85,1421,44.23791892615172,minimum,-22.83950715460623,0.2044341252788399
P011,86,1436,44.73797076028305,maximum,23.224868593870383,-0.1674580038044577
P011,87,1451,45.23802259441438,minimum,-22.450635680761824,0.0712902844872127
P011,88,1466,45.73807442854571,maximum,22.75002143119605,-0.0487756242165011
P011,89,1481,46.23812626267704,minimum,-22.01482841685908,-0.0087647364093312
P011,90,1496,46.738178096808376,maximum,22.27268690708861,0.0339039778465328
P011,91,1511,47.2382299309397,minimum,-21.682491242495967,-0.1111843072537641
P011,92,1526,47.73828176507104,maximum,22.058384429208463,0.1480996861447789
P011,93,1541,48.23833359920236,minimum,-21.319747505490405,-0.1929259578770259
P011,94,1556,48.7383854333337,maximum,21.587841706491076,0.2379672279735825
P011,95,1571,49.238437267465024,minimum,-20.781549065601755,-0.2424196537260425
P011,96,1587,49.771825890538445,maximum,21.193356214835312,-0.1842631730632116
P011,97,1602,50.27187772466978,minimum,-20.43555291906411,0.1247887450675142
P011,98,1617,50.77192955880111,maximum,20.79247589221032,-0.0947179887030142
P011,99,1632,51.27198139293244,minimum,-20.096189289840225,0.0573719942566718
P011,100,1647,51.772033227063766,maximum,20.550079575808983,-0.0412234534390263
P011,101,1662,52.2720850611951,minimum,-19.845761428490587,0.0121146326998828
P011,102,1677,52.772136895326426,maximum,20.28447653727792,0.0176456651090133
P011,103,1692,53.27218872945776,minimum,-19.50554662680728,-0.0808477960181408
P011,104,1707,53.77224056358909,maximum,19.85427312350561,0.1050978576235275
P011,105,1722,54.27229239772042,minimum,-19.048116627073703,-0.133933008426994
P011,106,1737,54.77234423185176,maximum,19.477427351633548,0.1550689129504057
P011,107,1752,55.27239606598308,minimum,-18.68961301058149,-0.1717935903840921
P011,108,1767,55.772447900114415,maximum,18.93013619458888,0.1806848906269273
P011,109,1782,56.27249973424574,minimum,-18.31175273715957,-0.2155761858092912
P011,110,1798,56.80588835731916,maximum,18.79306074043386,-0.200809076251871
P011,111,1813,57.305940191450496,minimum,-18.238478578908765,0.1511785420353258
P011,112,1828,57.80599202558182,maximum,18.56016920121036,-0.1164687527647891
P011,113,1843,58.30604385971316,minimum,-17.941247961109102,0.1111290717051003
P011,114,1858,58.80609569384448,maximum,18.252094596902108,-0.1015908272113117
P011,115,1873,59.30614752797582,minimum,-17.515420285336933,0.0863559279921195
P011,116,1888,59.80619936210715,maximum,17.972625456541653,-0.0509503535728612
P011,117,1903,60.30625119623848,minimum,-17.21606316635122,0.0104884289993609
P011,118,1918,60.80630303036981,maximum,17.499251884545913,0.0060111021407737
P011,119,1933,61.30635486450114,minimum,-16.934404896696066,-0.0246440702551087
P011,120,1948,61.80640669863247,maximum,17.124198613869464,0.0311457284360197
P011,121,1963,62.3064585327638,minimum,-16.69530316370817,-0.0406910730567218
P011,122,1978,62.80651036689513,maximum,17.020251434083136,0.050694187257444
P011,123,1993,63.30656220102646,minimum,-16.496482620852163,-0.0873070391710094
P011,124,2008,63.80661403515779,maximum,16.70647034818935,0.0996216346386816
P011,125,2023,64.30666586928912,minimum,-16.026833567266863,-0.1270616716022173
P011,126,2038,64.80671770342046,maximum,16.426487109319925,0.1497032102121112
P011,127,2053,65.30676953755179,minimum,-15.69466293358872,-0.152958776343362
P011,128,2068,65.80682137168311,maximum,15.985857581912375,0.1690279520879821
P011,129,2083,66.30687320581444,minimum,-15.351746670640162,-0.1597483266901874
P011,130,2098,66.80692503994578,maximum,15.71495118860982,0.1722810941498799
P011,131,2113,67.30697687407711,minimum,-15.071995309150031,-0.1767387010379665
P011,132,2129,67.84036549715053,maximum,15.520019977084168,-0.1325086500177439
P011,133,2144,68.34041733128186,minimum,-14.929413868908084,0.1019174353170127
P011,134,2159,68.84046916541318,maximum,15.338121715216207,-0.1070868144785801
P011,135,2174,69.34052099954452,minimum,-14.721757414001116,0.0822414902812742
P011,136,2189,69.84057283367585,maximum,15.063236455717568,-0.0728345091286527
P011,137,2204,70.34062466780718,minimum,-14.4687047243508,0.0490824917832297
P011,138,2219,70.84067650193852,maximum,14.8495263349764,-0.0584905344099583
P011,139,2234,71.34072833606984,minimum,-14.107817366898564,0.0375830618416562
P011,140,2249,71.84078017020117,maximum,14.584145279003344,-0.0416531740899985
P011,141,2264,72.3408320043325,minimum,-13.936712790082185,0.0424294502002462
P011,142,2279,72.84088383846384,maximum,14.281560794132297,-0.0185463674508403
P011,143,2294,73.34093567259517,minimum,-13.698638837090847,0.0214102510204432
P011,144,2309,73.84098750672649,maximum,13.99565002289194,-0.0079388445403787
P011,145,2324,74.34103934085782,minimum,-13.451216945921905,0.0013737296730184
P011,146,2339,74.84109117498916,maximum,13.98209008775504,0.007499560168838
P011,147,2354,75.34114300912049,minimum,-13.33751660300804,-0.0187959687371314
P011,148,2369,75.84119484325181,maximum,13.7274426257882,0.0329661329986684
P011,149,2384,76.34124667738315,minimum,-13.178035790944726,-0.0390197653728893
P011,150,2399,76.84129851151448,maximum,13.536899274359383,0.0303156087245398
P011,151,2414,77.34135034564581,minimum,-12.959353304454838,-0.0360024823594958
P011,152,2429,77.84140217977713,maximum,13.260006447165836,0.0448108348772823
P011,153,2444,78.34145401390847,minimum,-12.615385254225489,-0.0413665533833091
P011,154,2459,78.8415058480398,maximum,13.059114730917672,0.0640492102467571
P011,155,2474,79.34155768217113,minimum,-12.403260819056856,-0.0802694285369379
P011,156,2489,79.84160951630247,maximum,12.673885850280056,0.0618570161541565
P011,157,2504,80.3416613504338,minimum,-12.100508806292448,-0.100310086379062
P011,158,2519,80.84171318456512,maximum,12.430645305530945,0.0756026673776832
P011,159,2534,81.34176501869645,minimum,-11.96127779756911,-0.1026276304505904
P011,160,2550,81.87515364176987,maximum,12.282683383003352,-0.1772821837355621
P011,161,2564,82.34186868695912,minimum,-11.771242126503587,-0.1107669734239863
P011,162,2579,82.84192052109044,maximum,12.204655901280042,0.1261826615437141
P011,163,2594,83.34197235522177,minimum,-11.71978100424738,-0.1172980736231864
P011,164,2609,83.84202418935311,maximum,12.033658132900634,0.1245554821890744
P011,165,2624,84.34207602348444,minimum,-11.51583403610704,-0.1238653952464247
P011,166,2639,84.84212785761576,maximum,11.835041337167748,0.1204753223359131
P011,167,2654,85.3421796917471,minimum,-11.31558150954499,-0.117215752208564
P011,168,2670,85.87556831482051,maximum,11.682463854424702,-0.1221208781062455
P011,169,2684,86.34228336000976,minimum,-10.932629546290611,-0.1179817522085152
P011,170,2700,86.87567198308318,maximum,11.494075042309191,-0.1111772938376696
P011,171,2715,87.3757238172145,minimum,-10.759488968375862,0.0854778229599219
P011,172,2730,87.87577565134585,maximum,11.126391195616108,-0.0922935498844803
P011,173,2745,88.37582748547717,minimum,-10.58859138893415,0.0941324791055883
P011,174,2760,88.8758793196085,maximum,10.92133758894374,-0.0745105654427693
P011,175,2775,89.37593115373983,minimum,-10.485689330644444,0.0923023947281078
P011,176,2790,89.87598298787117,maximum,10.735910947497045,-0.0781138983425882
P011,177,2805,90.3760348220025,minimum,-10.318776670649337,0.0805028328930258
P011,178,2819,90.84274986719174,maximum,10.623540818407378,0.1566971721785254
P011,179,2835,91.37613849026516,minimum,-10.21320609592694,0.0772494731008947
P011,180,2850,91.87619032439648,maximum,10.533098887164114,-0.0870737258416681
P011,181,2865,92.37624215852782,minimum,-10.120537928442126,0.0678598491301082
P011,182,2880,92.87629399265914,maximum,10.424005553806056,-0.0813211490639126
P011,183,2895,93.37634582679048,minimum,-9.973216446773966,0.0601424778713801
P011,184,2910,93.8763976609218,maximum,10.189028342116892,-0.0554649395809162
P011,185,2925,94.37644949505314,minimum,-9.760268685291864,0.0584185201065327
P011,186,2940,94.87650132918448,maximum,10.043285283316887,-0.0403261109651321
P011,187,2955,95.3765531633158,minimum,-9.44692166593713,0.0292506946580113
P011,188,2970,95.87660499744712,maximum,9.904507091973423,-0.0260127058456998
P011,189,2985,96.37665683157846,minimum,-9.1917073759547,0.0156824989625132
P011,190,3000,96.8767086657098,maximum,9.725055213008444,-0.0188856111240999
P011,191,3015,97.37676049984113,minimum,-9.069670109388497,0.0200737527366426
P011,192,3030,97.87681233397244,maximum,9.464571082121868,-0.0067959406082615
P011,193,3045,98.37686416810378,minimum,-8.987072516992853,0.0044774665294721
P011,194,3060,98.87691600223512,maximum,9.31910387901488,-0.0020978250035697
P011,195,3075,99.37696783636645,minimum,-8.843392686593466,-0.0011244901543231
P011,196,3090,99.87701967049776,maximum,9.16418210957067,0.0039553012472464
P011,197,3105,100.37707150462911,minimum,-8.722170483176264,-0.0040142693355944
P011,198,3120,100.87712333876044,maximum,9.060860128352822,7.735827097821169e-05
P011,199,3135,101.37717517289175,minimum,-8.574213389746227,-0.0161114253756404
P011,200,3150,101.8772270070231,maximum,8.990657610407489,0.0144226609574523
P011,201,3165,102.37727884115444,minimum,-8.4967072325303,-0.017471409204204
P011,202,3180,102.87733067528576,maximum,8.892308984475532,0.0255254051115186
P011,203,3195,103.37738250941707,minimum,-8.380253894394492,-0.0242153342744848
P011,204,3210,103.87743434354844,maximum,8.769803088803732,0.0370549492578703
P011,205,3225,104.37748617767976,minimum,-8.250853308744109,-0.0412477103241053
P011,206,3240,104.87753801181108,maximum,8.612989773097521,0.0384172509642674
P011,207,3255,105.3775898459424,minimum,-8.144613167035011,-0.0620211588164378
P011,208,3270,105.87764168007376,maximum,8.43438242301195,0.0420270323769295
